Example 1: Value Tesco using the Multiple Method,,,,,(Data source: pro forma F/S; market data; consensus forecasts),,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Market data (29/04/2016),,,,Past accounting data (2015/16A),,,"Normalized EPS, i.e., NP from cont. op., attr. to O/S (£/€)",,,,
,,Ahold,26384.32,4.159596405,0.690634767,12.13072184,4.564168593,16.192,18.07142857,,,,,,,
,,Booker,3562.876,7.695196544,0.713717147,20.12924294,6.254027119,29.51428571,25.98742138,,,,,,,
,,Carrefour,21616.74,1.525313294,0.274125823,5.97973444,1.772837122,13.73780488,14.82236842,,,,,,,
,,Casino,12451.33,0.982741121,0.269830534,7.429194511,0.962830189,30.19526627,22.09090909,,,,,,,
,,Colruyt,6449.5,3.983631872,0.702713009,9.174253201,3.363258317,18.40562249,42.99249531,,,,,,,
,,DIA,4315.94,3.003437717,0.483578711,9.010313152,10.19789137,n/a,25.7,,,,,,,
,,Metro,11973.75,1.666956703,0.2049703,5.174481417,1.900516917,16.54787234,17.57627119,,,,,,,
,,Morrison,7485.648,1.367991228,0.464312616,12.47608,1.536115016,27.46666667,22.95264624,,,,,,,
,,Sainsbury,7051.138,0.929371029,0.299971837,5.569619273,0.915811155,11.50434783,13.0990099,,,,,,,
,,,,,,,,,,,,,,,,
,Step 2 & 3: Choice of comparables; calculate intrinsic value,,,,,,,,,,,,,,,
,,,,,Enterprise,,,Equity,,,,,,,,
,Column1,Column2,Column3,NOA0,S0,EBITDA0,B0,E0,E1,,,,,,,
,1. Mean of all comparables,,,,,,,,,,,,,,,
,Benchmark multiple,,,2.812692879,0.455983861,9.674848975,3.496383978,20.44548327,22.58806112,,,,,,,
,Tesco's value driver (per share),,,1.827836574,6.698621708,0.292887029,1.061530889,0.017035266,0.064362063,,,,,,,
,"Adjustment (NFL, per share)",,,0.766305685,0.766305685,0.766305685,0,0,0,,,,,,,
,Intrinsic value of equity (per share),,,4.374837231,2.288157701,2.06733209,3.711519591,0.348294246,1.453814202,,,,,,,
,Error (% of share price),,,1.209513753,0.155635203,0.044107116,0.874504844,-0.824093815,-0.265750403,,,,,,,
,,,,,,,,,,,,,,,,
,2. Mean of comparables with similar size,,,,,,,,,,,,,,,
,Benchmark multiple,,,2.450622134,0.389910296,7.761645899,2.745840878,15.49255907,16.82335606,,,,,,,
,Intrinsic value of equity (per share),,,3.71303108,1.845555891,1.506979724,2.914794907,0.263919865,1.082785894,,,,,,,
,Error (% of share price),,,0.875268222,-0.067901065,-0.238899129,0.47211864,-0.866707139,-0.453138437,,,,,,,
,,,,,,,,,,,,,,,,
,3. Mean of comparables with similar size and leverage,,,,,,,,,,,,,,,
,Benchmark multiple,,,1.596134999,0.239548061,5.577107929,1.83667702,15.14283861,16.1993198,,,,,,,
,Intrinsic value of equity (per share),,,2.151168242,0.838336158,0.867156888,1.949689389,0.257962284,1.042621634,,,,,,,
,Error (% of share price),,,0.086448607,-0.5765979,-0.562041976,-0.01530839,-0.869716018,-0.473423417,,,,,,,
,,,,,,,,,,,,,,,,
,4. Harmonic mean of all comparables,,,,,,,,,,,,,,,
,Benchmark multiple,,,1.787702708,0.374062611,8.130893112,1.937087191,18.19655008,20.20092778,,,,,,,
,Intrinsic value of equity (per share),,,2.501322708,1.739398239,1.615127444,2.056277887,0.309983071,1.300173376,,,,,,,
,Error (% of share price),,,0.263294297,-0.121516041,-0.184279069,0.038524185,-0.843442894,-0.34334678,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Example 2: Valuation using the Sum-of-the-Parts Method,,,,,,,,,,,,,,,,
,Column1,Column2,Column3,Sales,Benchmark,Estimate,Column4,,,,,,,,,
,,,,(16/17E; £m),EV/S1,(£m),(£; per share),,,,,,,,,
,Retail,,,,,,,,,,,,,,,
,UK,,,42218.4,0.28,11821.152,,,,,,,,,,
,International,,,,,,,,,,,,,,,
,Asia,,,4749.2865,1.1,5224.21515,,,,,,,,,,
,Rest of Europe,,,5804.6835,0.45,2612.107575,,,,,,,,,,
,Financial services,,,964.55,1.5,1446.825,,,,,,,,,,
,Intrinsic enterprise value,,,,,21104.29973,2.597132627,,,,,,,,,
,Intrinsic value of equity,,,,,,1.830826941,,,,,,,,,
,Error (% of share price),,,,,,-0.075339929,,,,,,,,,
